// Setup
SequentiallyOrderedLists = False
SequentiallyOrderedSentences = False
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True

// Presets // Preset selection is based on the value of PrimaryStringRepresentation, and are added on the specified PresetLevel. Each PresetLevel component is only added once.
PresetLevel = List
Preset = Måttlig_A: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
Preset = Måttlig_B_Fallande: tuff_tuss_tusch, sopp_sått_sort, kval_kvarn_kvav, fyr_skyr_syr
Preset = Grav_A: sarg_sorg_sörj, mår_mor_mur, hyf_hys_hyrs, kval_kvarn_kvar, tugg_tum_tung
Preset = Grav_B_Fallande: mark_märk_mörk, farm_charm_larm, red_räd_Ryd, ed_led_ned, sock_sått_sort
Preset = Alla ord: // If left empty all components (except practise components) are added
Preset = Kil-fil-sil: kil_fil_sil
Preset = Farm-charm-larm: farm_charm_larm
Preset = IHeAR_CS: sitt_sytt_sött, hall_pall_tall, paj_pall_pang, kil_fil_sil
//Preset = BSIM experiment (temporary): kil_fil_sil, fyr_skyr_syr, mår_mor_mur, rått_rott_rött
Preset = QuickSiP: mark_märk_mörk, fyr_skyr_syr, sitt_sytt_sött, kil_fil_sil, tuff_tuss_tusch
ContrastPreset = Konsonanter: ∅, b, ɕ, d, f, fː, ɡː, h, ɧ, ʝ, ʝː, k, kː, l, lː, m, mː, n, ɳ, nː, ŋː, p, pː, r, rː, s, ʂ, sː, ʂː, t, tː, ʈː, v
ContrastPreset = Tonlösa konsonanter: ɕ, f, fː, h, ɧ, k, kː, p, pː, s, ʂ, sː, ʂː, t, tː, ʈː
ContrastPreset = Vokaler: a, ɑː, æ, ɔ, eː, ɛ̝, ɛː, ɪ, iː, ɵ, oː, œ, ʊ, uː, ʉː, ʏ, yː, ø̞, øː

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	SipTest		The Swedish SiP-test	False
Word	L15S01W01	L15S01	kil	False
Phoneme	L15S01W01P01	L15S01W01	ɕ	False
Phoneme	L15S01W01P02	L15S01W01	iː	False
Phoneme	L15S01W01P03	L15S01W01	l	False
Sentence	L15S02	L15	fil	False
Word	L15S02W01	L15S02	fil	False
Phoneme	L15S02W01P01	L15S02W01	f	False
Phoneme	L15S02W01P02	L15S02W01	iː	False
Phoneme	L15S02W01P03	L15S02W01	l	False
Sentence	L15S03	L15	sil	False
Word	L15S03W01	L15S03	sil	False
Phoneme	L15S03W01P01	L15S03W01	s	False
Phoneme	L15S03W01P02	L15S03W01	iː	False
Phoneme	L15S03W01P03	L15S03W01	l	False

List	L16	SipTest	kval_kvarn_kvav	False
Sentence	L16S01	L16	kval	False
Word	L16S01W01	L16S01	kval	False
Phoneme	L16S01W01P01	L16S01W01	k	False
Phoneme	L16S01W01P02	L16S01W01	v	False
Phoneme	L16S01W01P03	L16S01W01	ɑː	False
Phoneme	L16S01W01P04	L16S01W01	l	False
Sentence	L16S02	L16	kvarn	False
Word	L16S02W01	L16S02	kvarn	False
Phoneme	L16S02W01P01	L16S02W01	k	False
Phoneme	L16S02W01P02	L16S02W01	v	False
Phoneme	L16S02W01P03	L16S02W01	ɑː	False
Phoneme	L16S02W01P04	L16S02W01	ɳ	False
Sentence	L16S03	L16	kvav	False
Word	L16S03W01	L16S03	kvav	False
Phoneme	L16S03W01P01	L16S03W01	k	False
Phoneme	L16S03W01P02	L16S03W01	v	False
Phoneme	L16S03W01P03	L16S03W01	ɑː	False
Phoneme	L16S03W01P04	L16S03W01	v	False

List	L17	SipTest	mark_märk_mörk	False
Sentence	L17S01	L17	mark	False
Word	L17S01W01	L17S01	mark	False
Phoneme	L17S01W01P01	L17S01W01	m	False
Phoneme	L17S01W01P02	L17S01W01	a	False
Phoneme	L17S01W01P03	L17S01W01	rː	False
Phoneme	L17S01W01P04	L17S01W01	k	False
Sentence	L17S02	L17	märk	False
Word	L17S02W01	L17S02	märk	False
Phoneme	L17S02W01P01	L17S02W01	m	False
Phoneme	L17S02W01P02	L17S02W01	æ	False
Phoneme	L17S02W01P03	L17S02W01	rː	False
Phoneme	L17S02W01P04	L17S02W01	k	False
Sentence	L17S03	L17	mörk	False
Word	L17S03W01	L17S03	mörk	False
Phoneme	L17S03W01P01	L17S03W01	m	False
Phoneme	L17S03W01P02	L17S03W01	œ	False
Phoneme	L17S03W01P03	L17S03W01	rː	False
Phoneme	L17S03W01P04	L17S03W01	k	False

List	L18	SipTest	farm_charm_larm	False
Sentence	L18S01	L18	farm	False
Word	L18S01W01	L18S01	farm	False
Phoneme	L18S01W01P01	L18S01W01	f	False
Phoneme	L18S01W01P02	L18S01W01	a	False
Phoneme	L18S01W01P03	L18S01W01	rː	False
Phoneme	L18S01W01P04	L18S01W01	m	False
Sentence	L18S02	L18	charm	False
Word	L18S02W01	L18S02	charm	False
Phoneme	L18S02W01P01	L18S02W01	ɧ	False
Phoneme	L18S02W01P02	L18S02W01	a	False
Phoneme	L18S02W01P03	L18S02W01	rː	False
Phoneme	L18S02W01P04	L18S02W01	m	False
Sentence	L18S03	L18	larm	False
Word	L18S03W01	L18S03	larm	False
Phoneme	L18S03W01P01	L18S03W01	l	False
Phoneme	L18S03W01P02	L18S03W01	a	False
Phoneme	L18S03W01P03	L18S03W01	rː	False
Phoneme	L18S03W01P04	L18S03W01	m	False

List	L19	SipTest	kval_kvarn_kvar	False
Sentence	L19S01	L19	kval	False
Word	L19S01W01	L19S01	kval	False
Phoneme	L19S01W01P01	L19S01W01	k	False
Phoneme	L19S01W01P02	L19S01W01	v	False
Phoneme	L19S01W01P03	L19S01W01	ɑː	False
Phoneme	L19S01W01P04	L19S01W01	l	False
Sentence	L19S02	L19	kvarn	False
Word	L19S02W01	L19S02	kvarn	False
Phoneme	L19S02W01P01	L19S02W01	k	False
Phoneme	L19S02W01P02	L19S02W01	v	False
Phoneme	L19S02W01P03	L19S02W01	ɑː	False
Phoneme	L19S02W01P04	L19S02W01	ɳ	False
Sentence	L19S03	L19	kvar	False
Word	L19S03W01	L19S03	kvar	False
Phoneme	L19S03W01P01	L19S03W01	k	False
Phoneme	L19S03W01P02	L19S03W01	v	False
Phoneme	L19S03W01P03	L19S03W01	ɑː	False
Phoneme	L19S03W01P04	L19S03W01	r	False

List	L20	SipTest	red_räd_Ryd	False
Sentence	L20S01	L20	red	False
Word	L20S01W01	L20S01	red	False
Phoneme	L20S01W01P01	L20S01W01	r	False
Phoneme	L20S01W01P02	L20S01W01	eː	False
Phoneme	L20S01W01P03	L20S01W01	d	False
Sentence	L20S02	L20	räd	False
Word	L20S02W01	L20S02	räd	False
Phoneme	L20S02W01P01	L20S02W01	r	False
Phoneme	L20S02W01P02	L20S02W01	ɛː	False
Phoneme	L20S02W01P03	L20S02W01	d	False
Sentence	L20S03	L20	Ryd	False
Word	L20S03W01	L20S03	Ryd	False
Phoneme	L20S03W01P01	L20S03W01	r	False
Phoneme	L20S03W01P02	L20S03W01	yː	False
Phoneme	L20S03W01P03	L20S03W01	d	False

List	L21	SipTest	fyr_skyr_syr	False
Sentence	L21S01	L21	fyr	False
Word	L21S01W01	L21S01	fyr	False
Phoneme	L21S01W01P01	L21S01W01	f	False
Phoneme	L21S01W01P02	L21S01W01	yː	False
Phoneme	L21S01W01P03	L21S01W01	r	False
Sentence	L21S02	L21	skyr	False
Word	L21S02W01	L21S02	skyr	False
Phoneme	L21S02W01P01	L21S02W01	ɧ	False
Phoneme	L21S02W01P02	L21S02W01	yː	False
Phoneme	L21S02W01P03	L21S02W01	r	False
Sentence	L21S03	L21	syr	False
Word	L21S03W01	L21S03	syr	False
Phoneme	L21S03W01P01	L21S03W01	s	False
Phoneme	L21S03W01P02	L21S03W01	yː	False
Phoneme	L21S03W01P03	L21S03W01	r	False

List	L22	SipTest	sopp_sått_sort	False
Sentence	L22S01	L22	sopp	False
Word	L22S01W01	L22S01	sopp	False
Phoneme	L22S01W01P01	L22S01W01	s	False
Phoneme	L22S01W01P02	L22S01W01	ɔ	False
Phoneme	L22S01W01P03	L22S01W01	pː	False
Sentence	L22S02	L22	sått	False
Word	L22S02W01	L22S02	sått	False
Phoneme	L22S02W01P01	L22S02W01	s	False
Phoneme	L22S02W01P02	L22S02W01	ɔ	False
Phoneme	L22S02W01P03	L22S02W01	tː	False
Sentence	L22S03	L22	sort	False
Word	L22S03W01	L22S03	sort	False
Phoneme	L22S03W01P01	L22S03W01	s	False
Phoneme	L22S03W01P02	L22S03W01	ɔ	False
Phoneme	L22S03W01P03	L22S03W01	ʈː	False

List	L23	SipTest	sarg_sorg_sörj	False
Sentence	L23S01	L23	sarg	False
Word	L23S01W01	L23S01	sarg	False
Phoneme	L23S01W01P01	L23S01W01	s	False
Phoneme	L23S01W01P02	L23S01W01	a	False
Phoneme	L23S01W01P03	L23S01W01	rː	False
Phoneme	L23S01W01P04	L23S01W01	ʝ	False
Sentence	L23S02	L23	sorg	False
Word	L23S02W01	L23S02	sorg	False
