// Setup
SequentiallyOrderedLists = True
SequentiallyOrderedSentences = True
SequentiallyOrderedWords = True
SequentiallyOrderedPhonemes = True
PresetLevel = ListCollection

// Components
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent

ListCollection	Swedish Spondees 23		Swedish Spondees 23	False
Phoneme	L02S01W00P03	L02S01W00	ɑː	False
Phoneme	L02S01W00P04	L02S01W00	l	False
Sentence	L02S02	L02	Sentence02	False
Word	L02S02W00	L02S02	Barnbok	False
Phoneme	L02S02W00P00	L02S02W00	b	False
Phoneme	L02S02W00P01	L02S02W00	ɑː	False
Phoneme	L02S02W00P02	L02S02W00	ɳ	False
Phoneme	L02S02W00P03	L02S02W00	b	False
Phoneme	L02S02W00P04	L02S02W00	uː	False
Phoneme	L02S02W00P05	L02S02W00	k	False
Sentence	L02S03	L02	Sentence03	False
Word	L02S03W00	L02S03	Husbil	False
Phoneme	L02S03W00P00	L02S03W00	h	False
Phoneme	L02S03W00P01	L02S03W00	ʉː	False
Phoneme	L02S03W00P02	L02S03W00	s	False
Phoneme	L02S03W00P03	L02S03W00	b	False
Phoneme	L02S03W00P04	L02S03W00	iː	False
Phoneme	L02S03W00P05	L02S03W00	l	False
Sentence	L02S04	L02	Sentence04	False
Word	L02S04W00	L02S04	Jämlikt	False
Phoneme	L02S04W00P00	L02S04W00	ʝ	False
Phoneme	L02S04W00P01	L02S04W00	ɛ̝	False
Phoneme	L02S04W00P02	L02S04W00	mː	False
Phoneme	L02S04W00P03	L02S04W00	l	False
Phoneme	L02S04W00P04	L02S04W00	iː	False
Phoneme	L02S04W00P05	L02S04W00	k	False
Phoneme	L02S04W00P06	L02S04W00	t	False
Sentence	L02S05	L02	Sentence05	False
Word	L02S05W00	L02S05	Förnamn	False
Phoneme	L02S05W00P00	L02S05W00	f	False
Phoneme	L02S05W00P01	L02S05W00	øː	False
Phoneme	L02S05W00P02	L02S05W00	ɳ	False
Phoneme	L02S05W00P03	L02S05W00	a	False
Phoneme	L02S05W00P04	L02S05W00	mː	False
Phoneme	L02S05W00P05	L02S05W00	n	False
Sentence	L02S06	L02	Sentence06	False
Word	L02S06W00	L02S06	Nedstämd	False
Phoneme	L02S06W00P00	L02S06W00	n	False
Phoneme	L02S06W00P01	L02S06W00	eː	False
Phoneme	L02S06W00P02	L02S06W00	d	False
Phoneme	L02S06W00P03	L02S06W00	s	False
Phoneme	L02S06W00P04	L02S06W00	t	False
Phoneme	L02S06W00P05	L02S06W00	ɛ̝	False
Phoneme	L02S06W00P06	L02S06W00	mː	False
Phoneme	L02S06W00P07	L02S06W00	d	False
Sentence	L02S07	L02	Sentence07	False
Word	L02S07W00	L02S07	Utskott	False
Phoneme	L02S07W00P00	L02S07W00	ʉː	False
Phoneme	L02S07W00P01	L02S07W00	t	False
Phoneme	L02S07W00P02	L02S07W00	s	False
Phoneme	L02S07W00P03	L02S07W00	k	False
Phoneme	L02S07W00P04	L02S07W00	ɔ	False
Phoneme	L02S07W00P05	L02S07W00	tː	False
Sentence	L02S08	L02	Sentence08	False
Word	L02S08W00	L02S08	Midnatt	False
Phoneme	L02S08W00P00	L02S08W00	m	False
Phoneme	L02S08W00P01	L02S08W00	iː	False
Phoneme	L02S08W00P02	L02S08W00	d	False
Phoneme	L02S08W00P03	L02S08W00	n	False
Phoneme	L02S08W00P04	L02S08W00	a	False
Phoneme	L02S08W00P05	L02S08W00	tː	False
Sentence	L02S09	L02	Sentence09	False
Word	L02S09W00	L02S09	Inställd	False
Phoneme	L02S09W00P00	L02S09W00	ɪ	False
Phoneme	L02S09W00P01	L02S09W00	nː	False
Phoneme	L02S09W00P02	L02S09W00	s	False
Phoneme	L02S09W00P03	L02S09W00	t	False
Phoneme	L02S09W00P04	L02S09W00	ɛ̝	False
Phoneme	L02S09W00P05	L02S09W00	lː	False
