Id	Spelling	Transcription	IsKeyComponent
L11S09W00	Elsa	 ² ɛ̝ lː . s a 	0
L11S09W01	ägde	 ägde 	0
L11S09W02	tre	 tre 	0
L11S09W03	vackra	 vackra 	0
L11S09W04	mössor	 mössor 	0
L12S00W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L12S00W01	gav	 gav 	0
L12S00W02	elva	 elva 	0
L12S00W03	ljusa	 ljusa 	0
L12S00W04	lådor	 lådor 	0
L12S01W00	Svante	 s v ² a nː . t e̞ 	0
L12S01W01	lånar	 lånar 	0
L12S01W02	fyra	 fyra 	0
L12S01W03	nya	 nya 	0
L12S01W04	ringar	 ringar 	0
L12S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L12S02W01	ser	 ser 	0
L12S02W02	arton	 arton 	0
L12S02W03	gamla	 gamla 	0
L12S02W04	dukar	 dukar 	0
L12S03W00	Bosse	 b ² ʊ sː . e̞ 	0
L12S03W01	köpte	 köpte 	0
L12S03W02	sex	 sex 	0
L12S03W03	hela	 hela 	0
L12S03W04	vantar	 vantar 	0
L12S04W00	Jonas	 ʝ ² uː . n a s 	0
L12S04W01	har	 har 	0
L12S04W02	två	 två 	0
L12S04W03	lätta	 lätta 	0
L12S04W04	skålar	 skålar 	0
L12S05W00	Anna	 ² a nː . a 	0
L12S05W01	flyttar	 flyttar 	0
L12S05W02	åtta	 åtta 	0
L12S05W03	vackra	 vackra 	0
L12S05W04	pennor	 pennor 	0
L12S06W00	Elsa	 ² ɛ̝ lː . s a 	0
L12S06W01	visar	 visar 	0
L12S06W02	tre	 tre 	0
L12S06W03	fina	 fina 	0
L12S06W04	bollar	 bollar 	0
L12S07W00	Karin	 k ² ɑː . r ɪ n 	0
L12S07W01	ägde	 ägde 	0
L12S07W02	nio	 nio 	0
L12S07W03	stora	 stora 	0
L12S07W04	knappar	 knappar 	0
L12S08W00	Peter	 p ˈ eː . t e̞ r 	0
L12S08W01	tog	 tog 	0
L12S08W02	tolv	 tolv 	0
L12S08W03	mörka	 mörka 	0
L12S08W04	mössor	 mössor 	0
L12S09W00	Britta	 b r ² ɪ tː . a 	0
L12S09W01	höll	 höll 	0
L12S09W02	sju	 sju 	0
L12S09W03	svarta	 svarta 	0
L12S09W04	korgar	 korgar 	0
L13S00W00	Karin	 k ² ɑː . r ɪ n 	0
L13S00W01	ser	 ser 	0
L13S00W02	arton	 arton 	0
L13S00W03	nya	 nya 	0
L13S00W04	knappar	 knappar 	0
L13S01W00	Svante	 s v ² a nː . t e̞ 	0
L13S01W01	ägde	 ägde 	0
L13S01W02	sju	 sju 	0
L13S01W03	gamla	 gamla 	0
L13S01W04	skålar	 skålar 	0
L13S02W00	Jonas	 ʝ ² uː . n a s 	0
L13S02W01	gav	 gav 	0
L13S02W02	åtta	 åtta 	0
L13S02W03	stora	 stora 	0
L13S02W04	dukar	 dukar 	0
L13S03W00	Bosse	 b ² ʊ sː . e̞ 	0
L13S03W01	köpte	 köpte 	0
L13S03W02	två	 två 	0
L13S03W03	mörka	 mörka 	0
L13S03W04	lådor	 lådor 	0
L13S04W00	Elsa	 ² ɛ̝ lː . s a 	0
L13S04W01	har	 har 	0
L13S04W02	fyra	 fyra 	0
L13S04W03	fina	 fina 	0
L13S04W04	bollar	 bollar 	0
L13S05W00	Anna	 ² a nː . a 	0
L13S05W01	visar	 visar 	0
L13S05W02	tre	 tre 	0
L13S05W03	ljusa	 ljusa 	0
L13S05W04	pennor	 pennor 	0
L13S06W00	Märta	 m ² ɛ̝ ʈː . a 	0
L13S06W01	tog	 tog 	0
L13S06W02	nio	 nio 	0
L13S06W03	vackra	 vackra 	0
L13S06W04	vantar	 vantar 	0
L13S07W00	Peter	 p ˈ eː . t e̞ r 	0
L13S07W01	flyttar	 flyttar 	0
L13S07W02	elva	 elva 	0
L13S07W03	svarta	 svarta 	0
L13S07W04	mössor	 mössor 	0
L13S08W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L13S08W01	lånar	 lånar 	0
