// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Phoneme	L05S01W00P00	L05S01W00	a	False
Phoneme	L05S01W00P01	L05S01W00	nː	False
Phoneme	L05S01W00P02	L05S01W00	a	False
Word	L05S01W01	L05S01	gav	False
Phoneme	L05S01W01P00	L05S01W01	gav	False
Word	L05S01W02	L05S01	sju	False
Phoneme	L05S01W02P00	L05S01W02	sju	False
Word	L05S01W03	L05S01	fina	False
Phoneme	L05S01W03P00	L05S01W03	fina	False
Word	L05S01W04	L05S01	ringar	False
Phoneme	L05S01W04P00	L05S01W04	ringar	False
Sentence	L05S02	L05	Sentence02	False
Word	L05S02W00	L05S02	Gustav	False
Phoneme	L05S02W00P00	L05S02W00	ɡ	False
Phoneme	L05S02W00P01	L05S02W00	ɵ	False
Phoneme	L05S02W00P02	L05S02W00	sː	False
Phoneme	L05S02W00P03	L05S02W00	t	False
Phoneme	L05S02W00P04	L05S02W00	ɑ	False
Phoneme	L05S02W00P05	L05S02W00	v	False
Word	L05S02W01	L05S02	köpte	False
Phoneme	L05S02W01P00	L05S02W01	köpte	False
Word	L05S02W02	L05S02	sex	False
Phoneme	L05S02W02P00	L05S02W02	sex	False
Word	L05S02W03	L05S02	hela	False
Phoneme	L05S02W03P00	L05S02W03	hela	False
Word	L05S02W04	L05S02	knappar	False
Phoneme	L05S02W04P00	L05S02W04	knappar	False
Sentence	L05S03	L05	Sentence03	False
Word	L05S03W00	L05S03	Svante	False
Phoneme	L05S03W00P00	L05S03W00	s	False
Phoneme	L05S03W00P01	L05S03W00	v	False
Phoneme	L05S03W00P02	L05S03W00	a	False
Phoneme	L05S03W00P03	L05S03W00	nː	False
Phoneme	L05S03W00P04	L05S03W00	t	False
Phoneme	L05S03W00P05	L05S03W00	e̞	False
Word	L05S03W01	L05S03	tog	False
Phoneme	L05S03W01P00	L05S03W01	tog	False
Word	L05S03W02	L05S03	nio	False
Phoneme	L05S03W02P00	L05S03W02	nio	False
Word	L05S03W03	L05S03	ljusa	False
Phoneme	L05S03W03P00	L05S03W03	ljusa	False
Word	L05S03W04	L05S03	dukar	False
Phoneme	L05S03W04P00	L05S03W04	dukar	False
Sentence	L05S04	L05	Sentence04	False
Word	L05S04W00	L05S04	Bosse	False
Phoneme	L05S04W00P00	L05S04W00	b	False
Phoneme	L05S04W00P01	L05S04W00	ʊ	False
Phoneme	L05S04W00P02	L05S04W00	sː	False
Phoneme	L05S04W00P03	L05S04W00	e̞	False
Word	L05S04W01	L05S04	höll	False
Phoneme	L05S04W01P00	L05S04W01	höll	False
Word	L05S04W02	L05S04	tre	False
Phoneme	L05S04W02P00	L05S04W02	tre	False
Word	L05S04W03	L05S04	mörka	False
Phoneme	L05S04W03P00	L05S04W03	mörka	False
Word	L05S04W04	L05S04	vantar	False
Phoneme	L05S04W04P00	L05S04W04	vantar	False
Sentence	L05S05	L05	Sentence05	False
Word	L05S05W00	L05S05	Britta	False
Phoneme	L05S05W00P00	L05S05W00	b	False
Phoneme	L05S05W00P01	L05S05W00	r	False
Phoneme	L05S05W00P02	L05S05W00	ɪ	False
Phoneme	L05S05W00P03	L05S05W00	tː	False
Phoneme	L05S05W00P04	L05S05W00	a	False
Word	L05S05W01	L05S05	har	False
Phoneme	L05S05W01P00	L05S05W01	har	False
Word	L05S05W02	L05S05	fyra	False
Phoneme	L05S05W02P00	L05S05W02	fyra	False
Word	L05S05W03	L05S05	vackra	False
Phoneme	L05S05W03P00	L05S05W03	vackra	False
Word	L05S05W04	L05S05	skålar	False
Phoneme	L05S05W04P00	L05S05W04	skålar	False
Sentence	L05S06	L05	Sentence06	False
Word	L05S06W00	L05S06	Karin	False
Phoneme	L05S06W00P00	L05S06W00	k	False
