// Setup				
SequentiallyOrderedLists = True				
SequentiallyOrderedSentences = True				
SequentiallyOrderedWords = True				
SequentiallyOrderedPhonemes = True				
PresetLevel = ListCollection				
				
// Components				
// LinguisticLevel	Id	ParentId	PrimaryStringRepresentation	IsPractiseComponent
Word	L07S04W00	L07S04	Läraren	False
Word	L07S04W01	L07S04	snubblade	False
Word	L07S04W02	L07S04	i	False
Word	L07S04W03	L07S04	trappan	False
Sentence	L07S05	L07	Sentence05	False
Word	L07S05W00	L07S05	I	False
Word	L07S05W01	L07S05	källaren	False
Word	L07S05W02	L07S05	stod	False
Word	L07S05W03	L07S05	en	False
Word	L07S05W04	L07S05	blå	False
Word	L07S05W05	L07S05	byrå	False
Sentence	L07S06	L07	Sentence06	False
Word	L07S06W00	L07S06	Mannen	False
Word	L07S06W01	L07S06	kramar	False
Word	L07S06W02	L07S06	sina	False
Word	L07S06W03	L07S06	söner	False
Sentence	L07S07	L07	Sentence07	False
Word	L07S07W00	L07S07	Grusvägen	False
Word	L07S07W01	L07S07	leder	False
Word	L07S07W02	L07S07	till	False
Word	L07S07W03	L07S07	ett	False
Word	L07S07W04	L07S07	rött	False
Word	L07S07W05	L07S07	hus	False
Sentence	L07S08	L07	Sentence08	False
Word	L07S08W00	L07S08	Pojkarna	False
Word	L07S08W01	L07S08	sjöng	False
Word	L07S08W02	L07S08	vackert	False
Word	L07S08W03	L07S08	igår	False
Sentence	L07S09	L07	Sentence09	False
Word	L07S09W00	L07S09	Mannen	False
Word	L07S09W01	L07S09	skar	False
Word	L07S09W02	L07S09	sig	False
Word	L07S09W03	L07S09	i	False
Word	L07S09W04	L07S09	pekfingret	False
				
List	L08	HINT	Lista 9	False
Sentence	L08S00	L08	Sentence00	False
Word	L08S00W00	L08S00	Min	False
Word	L08S00W01	L08S00	syster	False
Word	L08S00W02	L08S00	fyller	False
Word	L08S00W03	L08S00	snart	False
Word	L08S00W04	L08S00	tjugofyra	False
Sentence	L08S01	L08	Sentence01	False
Word	L08S01W00	L08S01	Barnvakten	False
Word	L08S01W01	L08S01	kom	False
Word	L08S01W02	L08S01	klockan	False
Word	L08S01W03	L08S01	tio	False
Sentence	L08S02	L08	Sentence02	False
Word	L08S02W00	L08S02	Grannens	False
Word	L08S02W01	L08S02	pojke	False
Word	L08S02W02	L08S02	har	False
Word	L08S02W03	L08S02	svart	False
Word	L08S02W04	L08S02	hår	False
Sentence	L08S03	L08	Sentence03	False
Word	L08S03W00	L08S03	En	False
Word	L08S03W01	L08S03	blå	False
Word	L08S03W02	L08S03	duk	False
Word	L08S03W03	L08S03	låg	False
Word	L08S03W04	L08S03	på	False
Word	L08S03W05	L08S03	pianot	False
Sentence	L08S04	L08	Sentence04	False
Word	L08S04W00	L08S04	Golfspelaren	False
Word	L08S04W01	L08S04	skadade	False
Word	L08S04W02	L08S04	axeln	False
Sentence	L08S05	L08	Sentence05	False
Word	L08S05W00	L08S05	Lillebror	False
Word	L08S05W01	L08S05	försov	False
Word	L08S05W02	L08S05	sig	False
Word	L08S05W03	L08S05	i	False
Word	L08S05W04	L08S05	morse	False
Sentence	L08S06	L08	Sentence06	False
Word	L08S06W00	L08S06	Killarna	False
Word	L08S06W01	L08S06	retades	False
Word	L08S06W02	L08S06	med	False
Word	L08S06W03	L08S06	fröken	False
Sentence	L08S07	L08	Sentence07	False
Word	L08S07W00	L08S07	Tuppen	False
Word	L08S07W01	L08S07	står	False
Word	L08S07W02	L08S07	mitt	False
Word	L08S07W03	L08S07	på	False
Word	L08S07W04	L08S07	vägen	False
Sentence	L08S08	L08	Sentence08	False
Word	L08S08W00	L08S08	Mattan	False
Word	L08S08W01	L08S08	i	False
Word	L08S08W02	L08S08	köket	False
Word	L08S08W03	L08S08	är	False
Word	L08S08W04	L08S08	handvävd	False
Sentence	L08S09	L08	Sentence09	False
Word	L08S09W00	L08S09	Mannen	False
Word	L08S09W01	L08S09	planterade	False
Word	L08S09W02	L08S09	rädisor	False
				
List	L09	HINT	Lista 10	False
Sentence	L09S00	L09	Sentence00	False
Word	L09S00W00	L09S00	Kocken	False
Word	L09S00W01	L09S00	skaffade	False
Word	L09S00W02	L09S00	glasögon	False
Sentence	L09S01	L09	Sentence01	False
Word	L09S01W00	L09S01	Hon	False
Word	L09S01W01	L09S01	målar	False
Word	L09S01W02	L09S01	hjärtat	False
Word	L09S01W03	L09S01	blått	False
Sentence	L09S02	L09	Sentence02	False
Word	L09S02W00	L09S02	Pojkarna	False
Word	L09S02W01	L09S02	lekte	False
Word	L09S02W02	L09S02	i	False
Word	L09S02W03	L09S02	parken	False
Sentence	L09S03	L09	Sentence03	False
Word	L09S03W00	L09S03	Det	False
Word	L09S03W01	L09S03	står	False
Word	L09S03W02	L09S03	tjugo	False
Word	L09S03W03	L09S03	bänkar	False
Word	L09S03W04	L09S03	längs	False
Word	L09S03W05	L09S03	kajen	False
Sentence	L09S04	L09	Sentence04	False
Word	L09S04W00	L09S04	Svärmor	False
Word	L09S04W01	L09S04	bjöd	False
Word	L09S04W02	L09S04	på	False
Word	L09S04W03	L09S04	middag	False
Word	L09S04W04	L09S04	igår	False
Sentence	L09S05	L09	Sentence05	False
Word	L09S05W00	L09S05	Gräset	False
Word	L09S05W01	L09S05	var	False
Word	L09S05W02	L09S05	vitt	False
Word	L09S05W03	L09S05	av	False
Word	L09S05W04	L09S05	frost	False
Sentence	L09S06	L09	Sentence06	False
Word	L09S06W00	L09S06	Mannen	False
Word	L09S06W01	L09S06	slog	False
Word	L09S06W02	L09S06	sönder	False
Word	L09S06W03	L09S06	en	False
Word	L09S06W04	L09S06	tand	False
Sentence	L09S07	L09	Sentence07	False
Word	L09S07W00	L09S07	Grannen	False
Word	L09S07W01	L09S07	låste	False
Word	L09S07W02	L09S07	sin	False
Word	L09S07W03	L09S07	cykel	False
Sentence	L09S08	L09	Sentence08	False
Word	L09S08W00	L09S08	Smöret	False
Word	L09S08W01	L09S08	smälter	False
Word	L09S08W02	L09S08	i	False
Word	L09S08W03	L09S08	stekpannan	False
Sentence	L09S09	L09	Sentence09	False
Word	L09S09W00	L09S09	Han	False
Word	L09S09W01	L09S09	förlorade	False
Word	L09S09W02	L09S09	partiet	False
				
List	L10	HINT	Lista 11	False
Sentence	L10S00	L10	Sentence00	False
Word	L10S00W00	L10S00	Tanten	False
Word	L10S00W01	L10S00	rullade	False
Word	L10S00W02	L10S00	bollen	False
Sentence	L10S01	L10	Sentence01	False
Word	L10S01W00	L10S01	Skivan	False
Word	L10S01W01	L10S01	har	False
Word	L10S01W02	L10S01	ett	False
Word	L10S01W03	L10S01	rött	False
Word	L10S01W04	L10S01	fodral	False
Sentence	L10S02	L10	Sentence02	False
Word	L10S02W00	L10S02	Mamma	False
Word	L10S02W01	L10S02	skickar	False
Word	L10S02W02	L10S02	fjorton	False
Word	L10S02W03	L10S02	julkort	False
Sentence	L10S03	L10	Sentence03	False
Word	L10S03W00	L10S03	Vännerna	False
Word	L10S03W01	L10S03	var	False
Word	L10S03W02	L10S03	på	False
Word	L10S03W03	L10S03	bio	False
Word	L10S03W04	L10S03	igår	False
Sentence	L10S04	L10	Sentence04	False
Word	L10S04W00	L10S04	Sonen	False
Word	L10S04W01	L10S04	kör	False
Word	L10S04W02	L10S04	traktor	False
Word	L10S04W03	L10S04	på	False
Word	L10S04W04	L10S04	åkern	False
Sentence	L10S05	L10	Sentence05	False
Word	L10S05W00	L10S05	Han	False
Word	L10S05W01	L10S05	svettades	False
Word	L10S05W02	L10S05	under	False
Word	L10S05W03	L10S05	matchen	False
Sentence	L10S06	L10	Sentence06	False
Word	L10S06W00	L10S06	En	False
Word	L10S06W01	L10S06	grön	False
Word	L10S06W02	L10S06	cykel	False
Word	L10S06W03	L10S06	stod	False
Word	L10S06W04	L10S06	olåst	False
Sentence	L10S07	L10	Sentence07	False
Word	L10S07W00	L10S07	Tjejerna	False
Word	L10S07W01	L10S07	spelar	False
Word	L10S07W02	L10S07	handboll	False
Word	L10S07W03	L10S07	ikväll	False
Sentence	L10S08	L10	Sentence08	False
Word	L10S08W00	L10S08	Köket	False
Word	L10S08W01	L10S08	ska	False
Word	L10S08W02	L10S08	städas	False
Word	L10S08W03	L10S08	nästa	False
Word	L10S08W04	L10S08	lördag	False
Sentence	L10S09	L10	Sentence09	False
Word	L10S09W00	L10S09	Det	False
Word	L10S09W01	L10S09	är	False
Word	L10S09W02	L10S09	picknick	False
Word	L10S09W03	L10S09	på	False
Word	L10S09W04	L10S09	stranden	False
Word	L10S09W05	L10S09	vid	False
Word	L10S09W06	L10S09	sju	False
				
List	L11	HINT	Lista 12	False
Sentence	L11S00	L11	Sentence00	False
Word	L11S00W00	L11S00	Bilen	False
Word	L11S00W01	L11S00	kör	False
Word	L11S00W02	L11S00	på	False
Word	L11S00W03	L11S00	skogsvägen	False
Sentence	L11S01	L11	Sentence01	False
Word	L11S01W00	L11S01	Skjortorna	False
Word	L11S01W01	L11S01	ska	False
Word	L11S01W02	L11S01	hängas	False
Word	L11S01W03	L11S01	i	False
Word	L11S01W04	L11S01	skåpet	False
Sentence	L11S02	L11	Sentence02	False
Word	L11S02W00	L11S02	De	False
Word	L11S02W01	L11S02	små	False
Word	L11S02W02	L11S02	tomaterna	False
Word	L11S02W03	L11S02	är	False
Word	L11S02W04	L11S02	gröna	False
Sentence	L11S03	L11	Sentence03	False
